Device ID,Total Panels Cleaned,Avg Battery Discharge,Weekly Start
2513,553,8.00,Mon Dec 23 2024 00:00:00 GMT+0530 (India Standard Time)
2614,44095,7.00,Mon Dec 23 2024 00:00:00 GMT+0530 (India Standard Time)
